targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39628166989352115,main,bright,STAR,0,t,2784385933167389568,15.789480696394628,16.051426269985022,1.427998879500191,0.065166,17.23436225931361,-29.53459444899031,16.348803,16.988276,15.570907,[-4.8999e-01  2.2078e-01         nan  4.4755e+03  4.5353e+00],-0.48999,0.22078,,4475.5,4.5353,K,21.913250460365695
39627931865059060,main,bright,STAR,0,t,585810999186623488,140.2651145307034,5.986595428069879,1.491277237828621,0.068361,8.115922072403079,-11.42316248553182,16.908394,17.714485,16.035595,[-4.8997e-01  1.9312e-01         nan  4.1137e+03  4.2536e+00],-0.48997,0.19312,,4113.7,4.2536,K,21.814737025915665
39627866199035816,main,bright,STAR,0,t,3895903265846346112,176.44575952127462,3.214415039780473,1.4190497690338564,0.065291,3.127393066931349,-3.6366477314808887,16.585571,17.35217,15.743048,[-4.0556e-01 -1.7016e-02 -1.2726e-02  4.3146e+03  4.9736e+00],-0.40556,-0.017016,-0.012726,4314.6,4.9736,K,21.734232421526034
39627881357250041,main,bright,STAR,0,t,2741589573360768896,1.1080531677410392,3.888548238719899,1.4906757143307854,0.068638,28.23474496952115,-9.299715541933589,16.450584,17.15096,15.630428,[-5.2953e-01  2.1120e-01         nan  4.2847e+03  4.3520e+00],-0.52953,0.2112,,4284.7,4.352,K,21.717936337462998
39633220634937256,main,bright,STAR,0,t,1509600263455883904,210.15360263854043,48.1639209830434,1.0234688365038669,0.047221,0.898405030341709,-12.142503460894604,16.9517,17.62772,16.170588,[-2.7099e-01  1.1680e-01         nan  4.5249e+03  4.7138e+00],-0.27099,0.1168,,4524.9,4.7138,K,21.674018688800892
39628218478628988,main,bright,STAR,0,t,2832979291938340224,340.7839308819146,18.09589311298126,1.4962422415339975,0.069052,5.880568836196849,-17.969848018807713,16.101831,16.427685,14.851371,[-1.6046e-01  1.1609e-01         nan  4.2471e+03  4.3189e+00],-0.16046,0.11609,,4247.1,4.3189,K,21.66834040337713
39633183683119236,main,bright,STAR,0,t,1589885017672004096,222.12092840151135,45.99834402791189,1.5431169538348335,0.071227,-12.520820406592598,-2.4000041351580794,17.48406,18.43963,16.548018,[-8.1847e-01  1.4241e-01  3.3106e-01  4.0973e+03  4.9422e+00],-0.81847,0.14241,0.33106,4097.3,4.9422,K,21.664775349724593
39627836323007225,main,bright,STAR,0,t,3691937674140844160,195.3622238185292,1.9730412443228744,1.5806682222963684,0.073221,-0.8204668453562739,-1.234455717451684,16.897139,17.748882,16.015007,[-2.8054e-01 -2.0042e-01         nan  4.0893e+03  4.8888e+00],-0.28054,-0.20042,,4089.3,4.8888,K,21.5876349994724
39627630638534959,main,bright,STAR,0,t,3764388992125429376,161.60566998307075,-6.534033907109436,1.3832958478254092,0.064108,-4.018255695083552,15.74187499525892,16.72212,17.481148,15.883477,[-5.0795e-01  7.9203e-02  1.8986e-01  4.3471e+03  4.8573e+00],-0.50795,0.079203,0.18986,4347.1,4.8573,K,21.577585446830494
39633455415298583,main,bright,STAR,0,t,1068651226898319232,139.13887692025014,66.2528197206939,1.326095840193012,0.061502,-2.7023304262080177,-2.7163440468423388,16.911135,17.836157,15.968638,[7.9610e-02 4.6240e-02        nan 4.2352e+03 4.3611e+00],0.07961,0.04624,,4235.2,4.3611,K,21.561832789063967
