targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_espectral_aprox,parallax_snr
2305843021746284987,main,backup,STAR,0,t,1682155140120987776,190.33194056623108,67.27475030943063,0.9544407423817496,0.058924,-5.959272847127628,-5.864301509309073,17.200035,17.900345,16.382704,[nan nan nan nan nan],,,,,,sin_teff,16.19782673243075
2305843029270860226,main,backup,STAR,0,t,2692335678683976192,318.4780948889743,2.144968708317491,0.5181565228215926,0.031993,-4.474644003842178,-6.229716066221913,15.418859,15.764828,14.902203,[nan nan nan nan nan],,,,,,sin_teff,16.19593419878075
39627539257234381,main,bright,STAR,0,t,3193708479824826496,59.89055650623028,-10.176789145530412,1.2121733454910075,0.074898,-1.6554211070480358,-10.573401205180224,17.31033,18.139643,16.433472,[nan nan nan nan nan],,,,,,sin_teff,16.184321951066885
39627490703970682,main,dark,STAR,0,t,2409385565389948160,351.2695200317822,-12.465011983931689,9.761916787576409,0.60346,-71.50473133521778,-22.85731423268503,19.902252,20.33309,19.36049,[nan nan nan nan nan],,,,,,sin_teff,16.176576388785353
2305843017992377096,main,backup,STAR,0,t,1178593524863191808,220.20171971929432,12.006354751387589,0.5512831895536627,0.034095,-6.340126011992016,-6.3102461714133655,15.254722,15.576493,14.771295,[nan nan nan nan nan],,,,,,sin_teff,16.169033276247625
39633493772207462,sv1,backup,STAR,0,t,1062402118201832448,175.87305495443678,70.43132236700295,0.5667703772826637,0.035079,-7.0068680183770375,-3.239281147442338,16.147455,16.5016,15.631477,[nan nan nan nan nan],,,,,,sin_teff,16.156970759789722
2305843015614207267,main,backup,STAR,0,t,859285074595627136,174.2100779189126,60.441136186452894,0.5765519640044197,0.035686,-1.2288932682325506,-4.760128536735151,16.134794,16.481287,15.624366,[nan nan nan nan nan],,,,,,sin_teff,16.156250742711975
39633006637352510,main,bright,STAR,0,t,4608925217746964352,267.3074468067545,36.313862858663065,0.6191601115739683,0.038328,4.669968810410664,2.886093078893283,16.47092,16.941263,15.838959,[nan nan nan nan nan],,,,,,sin_teff,16.15425045851514
39633086639507129,main,bright,STAR,0,t,1488317807150324096,219.1832655165505,40.517108947847376,0.9260089614625742,0.057325,5.911330161408857,-8.90659745098582,16.367006,16.790586,15.682391,[nan nan nan nan nan],,,,,,sin_teff,16.153667011994315
39627707423659359,main,bright,STAR,0,t,3225740174120091648,72.0682022553371,-3.177557104957556,1.2316455838936406,0.07626,13.86770297240647,-4.013197060041319,17.010054,17.861895,16.107029,[nan nan nan nan nan],,,,,,sin_teff,16.150610856197755
